"","Prov.Name","Province","District","Secteur","Cellule","Village","HH","Dist.Water","Vaccinated","HH.Size","HH.Size.Adult","Prim.School.M","Prim.School.F","Birth.Weight"
"1","North","Amajyaruguru","Burera","Bungwe","Bungwe","Bungwe",165,1.32441573572508,0.885193598678249,5.95003892028817,2.55752188688981,0.179041182266812,0.100567278191075,3.07253188385335
"2","North","Amajyaruguru","Burera","Bungwe","Bungwe","Buzaniro",76,3.08801570060888,0.855278622858948,3.60613623591989,1,0.125711843669844,0.182719645920073,2.75858956812111
"3","North","Amajyaruguru","Burera","Bungwe","Bungwe","Gakeri",109,2.36824550499589,0.918128235003296,3.92791103719986,1.659654065923,0.128893675632718,0.14246420930706,3.26515783849247
"4","North","Amajyaruguru","Burera","Bungwe","Bungwe","Gatenga",101,1.41909666743913,0.914043907970072,4.07687718956614,1,0.138686730907389,0.0662022098731909,3.05868651563021
"5","North","Amajyaruguru","Burera","Bungwe","Bungwe","Kinihira",106,3.27866409920113,0.878676856711842,4.28700160782972,1,0.09429117982855,0.128148852001629,3.25765649211721
"6","North","Amajyaruguru","Burera","Bungwe","Bungwe","Nyabyondo",136,0.914841845078726,0.939466020240961,3.18556759353998,1,0.0908653798331846,0.0814081426328622,3.56456765860572
"7","North","Amajyaruguru","Burera","Bungwe","Bungwe","Rweru",160,2.50018930231558,1,4.56883973741648,1,0.0878114423722169,0.145377041296179,2.74523749522824
"8","North","Amajyaruguru","Burera","Bungwe","Bungwe","Zaneza",82,1.17431166800968,0.872113430122638,7.47831036518854,3.81970182352602,0.118473281695963,0.167470619668715,3.83227702276208
"9","North","Amajyaruguru","Burera","Bungwe","Bushenya","Buhinga",116,1.91488223546565,0.972126695712443,5.30887499143052,1.737508521558,0.077983055140426,0.0628022060364642,3.24767413447111
"10","North","Amajyaruguru","Burera","Bungwe","Bushenya","Bushenya",97,2.25954536184472,0.986394155068099,5.77989340420331,2.62224263597615,0.115523267379821,0.126223761088589,2.75539826889715
"11","North","Amajyaruguru","Burera","Bungwe","Bushenya","Gifumba",115,2.41944088082297,0.95296060486776,7.70292174038097,3.10568623311429,0.127466659645978,0.174493934868344,3.08530104810183
"12","North","Amajyaruguru","Burera","Bungwe","Bushenya","Mbuga",153,2.04350461922357,0.981029213322765,6.93278928804834,3.86661454622069,0.0680481175337134,0.0223416709053174,3.38228752068508
"13","North","Amajyaruguru","Burera","Bungwe","Bushenya","Ryamayaya",151,1.14513632133977,0.907251337988285,4.77214808764607,1.0565518474632,0.189098545368225,0.133752800165579,3.09536026040542
"14","North","Amajyaruguru","Burera","Bungwe","Mudugari","Buzaniro",88,2.55557165143262,0.966325681552236,5.86895144957779,2.4160601062769,0.112416923228604,0.132890147302056,2.48036503536594
"15","North","Amajyaruguru","Burera","Bungwe","Mudugari","Kivumo",72,2.18385319798532,0.915770749839109,5.84101723026548,2.46200888310888,0.0889878310649593,0.100212994463898,2.68751985211217
"16","North","Amajyaruguru","Burera","Bungwe","Mudugari","Mubuga",102,1.68623314183779,0.930217685415857,5.96665214924727,2.84128441944864,0.165772163369617,0.0253682174487719,3.31006900303775
"17","North","Amajyaruguru","Burera","Bungwe","Mudugari","Rubayo",113,2.51714184831165,0.944265753048498,4.72913086381055,1,0.137709674438391,0.205033653729276,2.98432105849721
"18","North","Amajyaruguru","Burera","Bungwe","Mudugari","Sangabuzi",87,1.38431482283231,0.896856939145077,5.21485714043174,1.01899283017587,0.168504618452556,0.132459606433192,3.12038860931993
"19","North","Amajyaruguru","Burera","Bungwe","Mudugari","Vunga",108,2.51775363119131,0.840774187859619,3.32754926401428,1,0.115692737235252,0.166077804056081,3.14294902201538
"20","North","Amajyaruguru","Burera","Bungwe","Tumba","Byorera",131,2.8008950022511,0.908221210119968,6.30598768673724,2.39858717305635,0.0461558127930253,0.117924520670239,2.21323526999
"21","North","Amajyaruguru","Burera","Bungwe","Tumba","Karwema",146,2.58402250260368,0.948217552311571,6.13971087831548,2.18377000677787,0.103686539087175,0.181937723145781,2.74839915432958
"22","North","Amajyaruguru","Burera","Bungwe","Tumba","Mubuga",146,2.05402386001996,0.945181470638334,7.17595064749282,4.44202084495131,0.136511097431423,0.0969651428890633,2.95748918353066
